gene_id	L3_FPKM	L4_FPKM	L5_FPKM	L7_FPKM	L8_FPKM
Marc1	0	0.163804	0.0683424	0.0610665	0.0335732
March1	0.672586	0.346353	0.714092	0.786593	0.746712
Marc2	20.0403	20.2744	21.8883	21.1553	19.6789
March2	92.3492	92.0331	85.73	88.5555	91.3703
March3	0.952994	1.15485	1.23799	1.33648	1.25182
March4	4.99581	5.90637	5.09666	5.21407	6.07921
March5	51.0432	49.0958	52.237	53.6544	56.0147
March6	58.0763	59.3205	57.1174	56.4732	56.4358
March7	17.6455	13.4445	16.8827	17.1874	14.1447
March8	10.8702	12.1366	11.7716	13.6626	12.5759
March9	9.00216	7.18895	7.73177	7.69137	9.46803
March10	0.111933	0.0640853	0.268617	0.0729787	0.0351178
March11	12.3625	10.8448	15.1023	8.68485	9.81291
Sept1	1.22043	1.19325	1.36076	1.82303	1.68542
Sept2	29.6781	29.9827	33.296	35.2427	29.3199
Sept3	33.136	36.5231	35.7882	33.8841	33.3661
Sept4	23.4111	19.7307	22.3264	19.2504	21.7335
Sept5	150.352	144.873	140.109	134.773	156.204
Sept6	33.3717	35.0818	34.5622	36.129	35.9931
Sept7	142.443	153.275	154.367	154.807	147.863
Sept8	32.4352	36.2957	33.4439	34.5598	32.4534
Sept9	20.401	17.3309	19.7995	18.7044	18.669
Sept10	5.38479	5.13506	5.72457	5.27702	5.82553
Sept11	12.4594	13.9922	13.707	14.185	11.8078
Sept14	0	0	0.0798593	0	0.0393359
Sept15	207.428	218.736	199.857	215.94	215.235
0610005C13Rik	0	0.121079	0	0.0450238	0
0610007N19Rik	6.1235	6.49715	5.96109	7.50743	5.73536
0610007P14Rik	34.9003	37.5178	38.9185	36.4506	40.1509
0610009B14Rik	1.1668	0.685899	0.659392	0.659356	0.0803286
0610009B22Rik	36.0708	44.9241	45.2469	45.8543	46.7188
0610009D07Rik	34.2494	43.3136	43.7813	44.194	41.9513
0610009L18Rik	2.45042	2.41023	2.94499	3.24774	3.35769
0610009O20Rik	15.5353	15.2109	16.9284	14.6441	15.4449
0610010B08Rik	4.22271	5.85888	6.26633	5.86761	4.73983
0610010F05Rik	38.3811	40.5505	38.6977	40.2825	37.5881
0610010K14Rik	18.7045	18.7431	18.5329	19.1438	18.624
0610011F06Rik	18.1677	17.4679	20.6162	16.2567	15.0867
0610012G03Rik	22.0565	22.1676	22.4801	19.8987	22.6873
0610012H03Rik	0.353786	0.178069	0.31944	0.69735	0.430612
0610030E20Rik	3.67411	4.11407	3.26182	4.39303	3.53381
0610031J06Rik	22.9397	21.9195	24.8117	20.849	21.1524
0610031O16Rik	0	0.102115	0	0.0782398	0
0610037L13Rik	19.6843	17.637	19.1178	17.7062	19.6782
0610038B21Rik	0.201526	0.254919	0.444726	0.248032	0.248138
0610038L08Rik	0	0	0	0.13764	0.049884
0610039K10Rik	2.12204	2.48346	1.85566	1.60064	3.72716
0610040B10Rik	4.966	3.56075	0.296012	1.33615	2.03826
0610040F04Rik	0.496997	0.0449133	0.300427	0.0670625	0.259545
0610040J01Rik	3.13632	3.0134	2.7081	3.07226	2.94891
0610043K17Rik	0.384836	0	0.1517	0	0
1100001G20Rik	1.13011	4.50293	4.66684	5.75216	5.1537
1110001A16Rik	17.9716	19.9876	19.0882	23.5685	17.2829
1110001J03Rik	27.7533	25.3697	32.4965	33.3709	34.04
1110002L01Rik	36.9175	35.3501	39.8472	36.1758	38.7249
1110004E09Rik	12.4162	13.5252	14.7153	13.9029	16.0608
1110004F10Rik	70.6105	71.2262	74.4208	71.6525	69.5129
1110006O24Rik	0.765806	0.447213	0.868159	0.575006	1.20749
1110007C09Rik	87.382	93.0492	86.1826	81.27	92.8527
1110008F13Rik	17.3189	20.3365	17.9252	21.4216	18.0718
1110008J03Rik	6.58856	5.06177	4.51433	5.45032	5.78434
1110008L16Rik	4.50543	3.36454	4.2455	5.04989	3.94037
1110008P14Rik	303.447	283.872	274.133	256.866	306.285
1110012L19Rik	12.5459	16.4285	17.8747	15.3458	15.6235
1110015O18Rik	0.0814469	0	0	0	0
1110017D15Rik	1.04014	0.267489	0.455867	0.390302	0.782952
1110019D14Rik	2.05607	3.01416	3.18268	2.41886	2.78424
1110020A21Rik	1.2342	2.4255	0.9425	1.88271	0.753738
1110028F11Rik	0	0.0690556	0	0	0
1110028F18Rik	0	0.0755615	0	0	0
1110032A03Rik	26.2227	34.0712	28.9763	31.7653	33.2312
1110032F04Rik	27.6426	22.7879	23.5996	21.7851	24.5203
1110034G24Rik	5.89115	6.71508	6.19076	5.70129	6.78605
1110035M17Rik	3.51769	3.19899	3.54118	3.13699	4.83999
1110037F02Rik	7.44161	7.33461	6.59837	7.27116	7.36631
1110038B12Rik	20.1886	30.3346	21.6332	28.3274	28.7098
1110038F14Rik	12.7534	13.338	11.4916	12.7759	12.7245
1110046J04Rik	15.0704	15.1684	14.6804	16.6149	19.1487
1110051M20Rik	58.5645	64.0408	62.2105	57.8932	64.528
